window_id,session_id,run_id,app_id,condition,capture_source,start_s,end_s,duration_s,status,has_packets,packet_count,total_ip_bytes,packets_per_second,ip_bytes_per_second,schema_v1_features_available,ip_size_mean,outbound_packet_fraction,iat_mean,tcp_packet_fraction,udp_packet_fraction
chrome_exploratory_run01_retry02_control_0,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,47.146763522000001,52.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_1,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,52.146763522000001,57.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_2,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,57.146763522000001,62.146763522000001,5,observed_nonempty,true,1,40,0.20000000000000001,8,true,40,0,0,1,0
chrome_exploratory_run01_retry02_control_3,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,62.146763522000001,67.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_4,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,67.146763522000001,72.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_5,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,72.146763522000001,77.146763522000001,5,observed_nonempty,true,25,5333,5,1066.5999999999999,true,213.31999999999999,0.52000000000000002,0.0092439552148183193,0.92000000000000004,0.080000000000000002
chrome_exploratory_run01_retry02_control_6,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,77.146763522000001,82.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_7,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,82.146763522000001,87.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_8,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,87.146763522000001,92.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_9,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,92.146763522000001,97.146763522000001,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_10,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,97.146763522000001,102.146763522,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_control_11,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,102.146763522,107.146763522,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_foreground_0,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,154.770659483,159.770659483,5,observed_nonempty,true,150,52017,30,10403.4,true,346.77999999999997,0.56000000000000005,0.0066201286827957872,0.81999999999999995,0.17999999999999999
chrome_exploratory_run01_retry02_foreground_1,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,159.770659483,164.770659483,5,observed_nonempty,true,83,5965,16.600000000000001,1193,true,71.867469879518069,0.5662650602409639,0.038143376024757945,1,0
chrome_exploratory_run01_retry02_foreground_2,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,164.770659483,169.770659483,5,observed_nonempty,true,28,4995,5.5999999999999996,999,true,178.39285714285714,0.5357142857142857,0.16157952061405889,0.5714285714285714,0.42857142857142855
chrome_exploratory_run01_retry02_foreground_3,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,169.770659483,174.770659483,5,observed_nonempty,true,24,6235,4.7999999999999998,1247,true,259.79166666666669,0.45833333333333331,0.070452866346939744,0.54166666666666663,0.45833333333333331
chrome_exploratory_run01_retry02_foreground_4,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,174.770659483,179.770659483,5,observed_nonempty,true,40,20054,8,4010.8000000000002,true,501.35000000000002,0.57499999999999996,0.10708300272623698,0.25,0.75
chrome_exploratory_run01_retry02_foreground_5,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,179.770659483,184.770659483,5,observed_nonempty,true,12,3116,2.3999999999999999,623.20000000000005,true,259.66666666666669,0.5,0.37396574020385742,0.33333333333333331,0.66666666666666663
chrome_exploratory_run01_retry02_foreground_6,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,184.770659483,189.770659483,5,observed_nonempty,true,39,22974,7.7999999999999998,4594.8000000000002,true,589.07692307692309,0.48717948717948717,0.0043377876281738281,0.41025641025641024,0.58974358974358976
chrome_exploratory_run01_retry02_foreground_7,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,189.770659483,194.770659483,5,observed_nonempty,true,159,37144,31.800000000000001,7428.8000000000002,true,233.61006289308176,0.49685534591194969,0.026543481440483768,0.64150943396226412,0.35849056603773582
